time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-06-23T18:01:30.000Z,60.2537,-145.0474,20.8,1.5,ml,,,,0.61,ak,ak13688321,2016-06-23T18:58:18.008Z,"50km SE of Cordova, Alaska",earthquake,0.6,0.2,,,automatic,ak,ak
2016-06-23T17:53:22.000Z,64.5945,-149.3439,17.3,1.1,ml,,,,0.42,ak,ak13688319,2016-06-23T18:58:20.406Z,"11km W of North Nenana, Alaska",earthquake,0.4,0.2,,,automatic,ak,ak
2016-06-23T17:51:45.200Z,19.1676667,-155.4625,35.407,1.9,md,41,109,0.0122,0.1,hv,hv61308001,2016-06-23T20:40:29.210Z,"4km SSE of Pahala, Hawaii",earthquake,0.69,0.87,0.104,21,reviewed,hv,hv
2016-06-23T17:43:57.000Z,62.0696,-150.5642,3.6,2.1,ml,,,,0.69,ak,ak13688315,2016-06-23T18:58:19.658Z,"36km SW of Talkeetna, Alaska",earthquake,0.2,0.2,,,automatic,ak,ak
2016-06-23T17:42:07.940Z,38.7818336,-122.7551651,1.43,1.04,md,7,110,0.01384,0.01,nc,nc72654651,2016-06-23T18:27:04.304Z,"0km NNE of The Geysers, California",earthquake,0.59,0.83,0.15,3,automatic,nc,nc
2016-06-23T17:34:11.610Z,19.1688333,-155.4568333,34.507,1.79,md,38,132,0.01425,0.08,hv,hv61307981,2016-06-23T20:31:20.770Z,"4km SSE of Pahala, Hawaii",earthquake,0.74,1,0.064,18,reviewed,hv,hv
2016-06-23T17:29:55.000Z,62.0676,-150.58,5.6,1.5,ml,,,,0.78,ak,ak13688312,2016-06-23T18:11:54.912Z,"37km SW of Talkeetna, Alaska",earthquake,0.2,0.3,,,automatic,ak,ak
2016-06-23T17:15:00.790Z,35.7558333,-90.2436667,13.83,2.03,md,19,80,0.07418,0.11,nm,nm60122227,2016-06-23T19:35:38.603Z,"7km E of Caraway, Arkansas",earthquake,0.29,0.47,0.131,15,reviewed,nm,nm
2016-06-23T17:12:54.270Z,34.7025,-116.2408333,3.05,1.64,ml,23,61,0.07625,0.19,ci,ci37611184,2016-06-23T17:36:28.541Z,"8km WSW of Ludlow, CA",earthquake,0.25,0.96,0.137,27,reviewed,ci,ci
2016-06-23T16:23:39.000Z,60.4542,-152.3854,93,1.4,ml,,,,0.23,ak,ak13687778,2016-06-23T17:20:51.163Z,"19km E of Redoubt Volcano, Alaska",earthquake,0.5,0.7,,,automatic,ak,ak
2016-06-23T15:40:24.000Z,66.0988,-149.4174,4.8,1.4,ml,,,,0.85,ak,ak13687768,2016-06-23T16:36:12.627Z,"133km SSE of Coldfoot, Alaska",earthquake,0.3,0.3,,,automatic,ak,ak
2016-06-23T15:38:06.000Z,62.9875,-144.1515,0,1.5,ml,,,,0.7,ak,ak13687766,2016-06-23T16:36:14.010Z,"70km WSW of Tok, Alaska",earthquake,0.3,0.3,,,automatic,ak,ak
2016-06-23T15:35:18.000Z,62.9876,-144.0624,0,1.8,ml,,,,0.68,ak,ak13687764,2016-06-23T16:36:13.329Z,"66km SW of Tok, Alaska",earthquake,0.2,0.3,,,automatic,ak,ak
2016-06-23T15:23:54.690Z,56.5387,-34.4109,10,4.8,mb,,72,8.519,0.77,us,us200066a0,2016-06-23T21:44:00.362Z,"Reykjanes Ridge",earthquake,9.1,1.9,0.037,223,reviewed,us,us
2016-06-23T15:18:14.000Z,61.6401,-150.8659,57.6,1.6,ml,,,,0.56,ak,ak13687761,2016-06-23T15:49:38.259Z,"45km WSW of Willow, Alaska",earthquake,0.3,0.4,,,automatic,ak,ak
2016-06-23T15:10:27.400Z,36.4626667,-121.0076667,8.68,1.77,md,31,63,0.03901,0.07,nc,nc72654606,2016-06-24T01:04:02.968Z,"26km NE of Greenfield, California",earthquake,0.16,0.67,0.281,28,reviewed,nc,nc
2016-06-23T15:06:04.910Z,38.8051667,-122.7923333,1.36,1.03,md,37,58,0.003634,0.05,nc,nc72654601,2016-06-23T22:04:02.924Z,"4km NW of The Geysers, California",earthquake,0.11,0.15,0.178,7,reviewed,nc,nc
2016-06-23T14:57:56.260Z,37.8336667,-118.4663333,3.38,1.37,md,5,332,0.2857,0.04,nc,nc72654596,2016-06-23T17:22:03.103Z,"50km ENE of Mammoth Lakes, California",earthquake,2.48,7.23,0.162,5,reviewed,nc,nc
2016-06-23T14:55:50.520Z,-30.1205,-177.9597,35,5.2,mb,,121,0.872,0.85,us,us2000668z,2016-06-23T15:12:39.868Z,"94km S of Raoul Island, New Zealand",earthquake,11,2,0.091,40,reviewed,us,us
2016-06-23T14:53:11.970Z,56.5655,-34.5321,10,4.6,mb,,109,9.204,0.87,us,us20006691,2016-06-23T15:17:50.238Z,"Reykjanes Ridge",earthquake,10.3,1.9,0.059,84,reviewed,us,us
2016-06-23T14:44:29.000Z,61.7815,-151.2219,73.9,2.9,ml,,,,0.56,ak,ak13687229,2016-06-23T15:51:06.135Z,"62km W of Willow, Alaska",earthquake,0.3,0.6,,,automatic,ak,ak
2016-06-23T14:42:42.000Z,62.8464,-149.5134,62.4,3,ml,,,,0.73,ak,ak13687220,2016-06-23T15:50:59.751Z,"65km NNE of Talkeetna, Alaska",earthquake,0.2,0.6,,,automatic,ak,ak
2016-06-23T14:37:56.560Z,44.0854,9.9495,7.27,4.2,mb,,44,0.387,0.82,us,us2000668w,2016-06-23T14:55:07.329Z,"2km SSW of Sarzana, Italy",earthquake,4.6,6.5,0.176,9,reviewed,us,us
2016-06-23T14:28:20.340Z,40.135,-123.8245,21.62,1.46,md,14,88,0.1024,0.08,nc,nc72654591,2016-06-23T23:01:02.066Z,"1km N of Redway, California",earthquake,0.34,0.45,0.279,10,reviewed,nc,nc
2016-06-23T14:14:52.890Z,38.202,-119.4183333,6.23,2.09,md,8,277,0.5746,0.08,nc,nc72654586,2016-06-23T16:57:04.030Z,"17km WSW of Bridgeport, California",earthquake,0.74,8.07,0.276,7,reviewed,nc,nc
2016-06-23T13:11:25.000Z,59.7875,-153.0488,102,2.6,ml,,,,0.66,ak,ak13686688,2016-06-23T14:10:36.153Z,"68km W of Anchor Point, Alaska",earthquake,0.4,0.4,,,automatic,ak,ak
