,q1,q2,q3,q4,q5,q6,gender,region
356,2,0,1,1,5,4,2,5
357,0,0,3,1,2,2,2,7
358,0,1,1,1,0,0,0,0
359,1,0,3,1,4,4,1,2
360,1,1,1,1,3,2,2,0
361,2,0,1,1,4,3,1,5
362,1,1,3,1,4,4,2,3
363,2,0,3,1,1,1,1,3
364,2,1,1,1,5,4,2,7
365,2,0,3,1,4,4,1,9
366,1,0,3,1,4,4,2,1
367,1,1,2,2,1,5,2,6
368,3,0,3,1,3,2,1,1
369,3,1,3,1,4,2,1,8
370,2,0,1,1,2,2,1,3
371,2,0,2,2,1,4,2,7
372,2,1,3,1,4,3,1,1
373,2,1,3,2,5,5,1,4
374,3,1,3,1,4,2,1,5
375,2,1,3,1,1,1,1,3
376,3,0,3,2,5,3,2,8
377,3,1,1,1,4,4,1,1
378,3,1,1,1,5,5,2,9
379,1,0,3,1,5,5,1,4
380,1,0,2,2,1,1,2,6
381,2,0,3,1,4,3,1,1
382,3,0,2,2,5,5,2,6
383,1,0,1,1,5,4,2,5
384,3,1,1,1,4,3,1,6
385,1,0,1,1,4,2,1,8
386,3,1,3,2,5,4,1,6
387,2,1,2,2,1,3,1,6
388,0,1,3,2,2,2,1,7
389,4,1,2,2,1,5,1,6
390,2,0,1,1,2,4,1,9
391,2,0,3,1,5,2,2,7
392,2,1,3,2,5,5,2,7
393,4,0,3,1,5,4,1,1
394,1,0,1,1,2,4,1,7
395,0,1,0,0,0,0,0,0
396,1,0,1,1,4,4,2,1
397,3,0,3,1,4,2,1,8
398,1,0,3,1,5,2,1,7
399,2,1,1,1,4,4,1,8
400,1,1,1,1,4,5,2,3
401,4,1,3,2,5,4,1,6
402,2,0,2,2,5,5,2,6
403,1,0,1,1,4,4,2,8
404,3,1,3,1,4,4,2,7
405,3,0,1,1,5,4,1,9
406,1,0,3,1,3,4,1,7
407,1,0,2,1,1,1,1,9
408,2,1,3,2,1,1,1,6
409,3,1,3,2,4,2,1,1
410,4,0,2,2,5,4,1,6
411,4,1,3,1,1,5,1,6
412,3,1,1,1,4,5,1,4
413,1,0,3,1,4,4,2,1
414,1,0,1,1,4,4,1,3
415,2,1,1,1,4,3,1,5
416,0,1,1,2,5,3,2,7
417,3,1,1,1,4,4,1,2
418,3,1,3,1,4,4,2,2
419,1,0,1,1,5,3,2,9
420,4,1,1,1,2,2,1,5
421,0,1,3,2,2,4,2,7
422,0,0,1,1,2,2,1,7
423,1,0,1,1,2,2,1,3
424,2,0,3,1,4,2,1,4
425,2,0,2,1,5,3,2,9
426,1,1,2,1,5,5,2,6
427,2,0,3,1,1,4,2,1
428,1,0,1,1,4,4,1,3
429,1,1,3,1,4,5,1,4
430,2,1,3,1,5,5,2,9
431,1,1,3,1,5,3,1,6
432,1,0,1,1,4,4,2,9
433,1,0,1,1,4,2,1,3
434,1,1,3,1,1,1,1,8
435,0,1,1,1,2,2,1,9
436,1,0,1,1,4,2,2,5
437,1,0,3,1,4,4,2,1
438,1,0,3,1,4,3,1,4
439,1,1,3,1,4,2,1,3
440,1,1,1,1,4,4,1,7
441,3,1,2,1,5,4,1,5
442,2,0,3,1,3,3,2,1
443,4,1,3,2,5,4,1,6
444,2,0,3,1,5,4,2,5
445,1,0,2,1,5,2,1,6
446,3,0,3,2,3,3,1,7
447,2,0,1,1,3,3,1,9
448,3,0,2,1,5,5,2,4
449,1,0,1,1,4,2,1,1
450,2,0,1,1,2,3,1,7
451,2,1,2,2,1,1,1,6
452,4,0,2,2,4,3,1,0
453,1,0,3,1,4,4,1,5
454,1,0,1,2,5,5,1,6
455,3,0,3,1,2,2,2,7
456,1,0,3,1,5,1,2,9
457,2,1,2,1,1,4,1,6
458,2,0,3,1,3,3,1,1
459,3,0,1,1,4,3,2,1
